user_id,timestamp,group,landing_page,converted
631010,2017-01-18 04:44:18.590293,control,old_page,0
736681,2017-01-14 05:22:43.771772,control,old_page,0
916949,2017-01-23 08:52:53.050325,control,old_page,0
634217,2017-01-07 23:27:09.109877,control,old_page,0
932468,2017-01-20 14:26:10.133979,control,old_page,0
677430,2017-01-08 22:55:45.560800,control,old_page,1
896520,2017-01-11 01:15:34.573185,control,old_page,0
827948,2017-01-10 06:28:11.592374,control,old_page,0
709460,2017-01-18 06:21:51.862515,control,old_page,0
793300,2017-01-06 01:15:56.520433,control,old_page,0
908444,2017-01-12 01:35:01.981095,control,old_page,0
656420,2017-01-12 05:28:15.362526,control,old_page,1
745973,2017-01-05 13:34:58.617322,control,old_page,0
867706,2017-01-10 14:21:55.948593,control,old_page,0
682649,2017-01-21 16:37:19.558453,control,old_page,0
802570,2017-01-03 12:28:45.901032,control,old_page,0
882071,2017-01-16 06:06:59.250933,control,old_page,0
917963,2017-01-12 21:23:09.280363,control,old_page,0
804342,2017-01-22 08:57:34.419881,control,old_page,0
754006,2017-01-08 23:56:05.441947,control,old_page,1
882637,2017-01-07 10:37:22.244823,control,old_page,0
773780,2017-01-05 09:44:45.321843,control,old_page,0
747976,2017-01-20 18:02:38.417657,control,old_page,0
652782,2017-01-10 23:44:38.943289,control,old_page,0
644238,2017-01-07 04:26:34.662386,control,old_page,0
650780,2017-01-08 20:20:34.366166,control,old_page,0
712708,2017-01-08 16:22:39.046013,control,old_page,0
777533,2017-01-10 22:30:19.408364,control,old_page,0
766104,2017-01-09 00:22:26.705287,control,old_page,0
631438,2017-01-16 17:58:08.691560,control,old_page,1
722100,2017-01-16 04:12:11.737209,control,old_page,0
714011,2017-01-11 20:15:58.458079,control,old_page,0
755751,2017-01-12 16:51:15.962853,control,old_page,1
643904,2017-01-08 17:52:32.915976,control,old_page,0
774861,2017-01-21 17:02:18.349483,control,old_page,0
873122,2017-01-09 03:49:53.440248,control,old_page,0
867714,2017-01-15 11:00:32.844244,control,old_page,0
848883,2017-01-10 01:32:42.290098,control,old_page,0
641467,2017-01-20 07:46:45.304800,control,old_page,0
861405,2017-01-09 14:19:25.098160,control,old_page,0
861728,2017-01-23 22:57:52.075095,control,old_page,0
896457,2017-01-15 18:48:58.312195,control,old_page,0
715229,2017-01-19 21:28:14.063924,control,old_page,0
701632,2017-01-02 21:40:07.458992,control,old_page,0
654526,2017-01-18 19:50:58.243257,control,old_page,0
945254,2017-01-02 21:02:08.447993,control,old_page,1
643075,2017-01-08 20:41:57.669271,control,old_page,0
831739,2017-01-19 15:46:36.741973,control,old_page,0
906633,2017-01-13 08:12:43.390061,control,old_page,1
632206,2017-01-11 14:12:27.352161,control,old_page,0
746657,2017-01-22 11:38:56.962815,control,old_page,0
804015,2017-01-15 18:59:38.643011,control,old_page,0
717576,2017-01-23 13:20:50.401243,control,old_page,0
835864,2017-01-22 17:24:39.890610,control,old_page,1
876106,2017-01-22 08:13:51.042714,control,old_page,0
842826,2017-01-21 14:46:08.679874,control,old_page,0
802131,2017-01-20 16:52:23.247977,control,old_page,0
780462,2017-01-08 03:07:25.772803,control,old_page,0
652141,2017-01-06 10:11:36.300685,control,old_page,0
674308,2017-01-22 07:13:11.129272,control,old_page,0
671295,2017-01-16 10:30:21.157993,control,old_page,1
772301,2017-01-11 20:57:04.624934,control,old_page,0
648429,2017-01-11 12:27:50.556389,control,old_page,0
702594,2017-01-08 17:07:28.041801,control,old_page,1
907809,2017-01-15 01:17:25.394935,control,old_page,0
933445,2017-01-11 15:38:37.058069,control,old_page,0
673447,2017-01-20 02:55:22.116921,control,old_page,0
668507,2017-01-22 08:54:56.585189,control,old_page,0
744768,2017-01-11 07:50:20.262295,control,old_page,0
632175,2017-01-10 13:46:28.599993,control,old_page,0
846865,2017-01-07 02:56:58.765807,control,old_page,0
